"Timestamp","Køn (Gender) ","Alder (Age)","Nationalitet (Nationality) ","Bopælsland (Country of residence) ","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","
Hvor længe har du været seksuelt aktiv? (How long have you been sexually active?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","I hvor høj grad betragter du dig selv som nysgerrig med hensyn til udforskning af seksuelle kinks? (To what extent do you consider yourself curious regarding exploration of sexual kinks?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Nogle rapporterer, at de afholder sig fra at/ engagere sig i kink(s), de er interesserede i, fordi de føler, at det/de er et tabu. Beskriver dette også dig? (Some report that they refrain from engaging in kink(s) they are interested, in because they feel it/they are taboo. Does this describe you as well?)   ","Hvor tror du, dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Har dine seksuelle interesser ændret sig over tid? (Have your sexual interests changed over time?) ","Del venligst hvilke situationer eller tilfælde du mener har fået dine interesser til at udvikle sig (Share what situations or instances you believe have caused your interests to evolve.) ","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/11/01 3:33:25 PM GMT+1","Kvinde (Woman)","40","Dk","Dk","I et forhold (In a relationship)","Nej (No)","28 år","10","7","8","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Inspiration","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 3:42:20 PM GMT+1","Mand (Man)","52 pr","Dk","Odense","Gift (Married)","Ja (yes)","Siden jeg var 14 år ","10","9","9","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Dark Secret;Afrodite club;Joys","6-10","Venner (Friends)","Nej (No)","Ja (Yes)","Jeg er blevet mere åben over for swinger livet. ","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Swinger livet ",""
"2022/11/01 3:52:03 PM GMT+1","Kvinde (Woman)","43","Dansk","Danmark ","I et forhold (In a relationship)","Nej (No)","30 år","9","9","1","Nej (No)","","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Afrodite club;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg har fået nogle nye / andre muligheder ","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om måneden (few times a month)","Ja (Yes)","7","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 3:55:39 PM GMT+1","Mand (Man)","Ja gud fanden er jeg køn, og alder 49","Dansk","Danmark ","Single","Nej (No)","37","7","9","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;Swingergaarden;Afrodite club;Joys;Klubber der er lukket i dag","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Prøvet ting jeg ikke ville ha drømt om","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","","","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","","","","","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:03:25 PM GMT+1","Kvinde (Woman)","45","DK","DK","Måske kommende kæreste ","Ja (yes)","27år","10","10","2","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Swingland;Dark Secret;Afrodite club;Joys;Euroclub 300 da den eksisteret ","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Ved at prøve forskellig sex, så mere vil have mere","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","6","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","En gang om måned (Once a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:14:28 PM GMT+1","Mand (Man)","52","dk","dk","I et forhold (In a relationship)","Ja (yes)","13","7","8","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","7","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","","Mindre end en gang om  (Less than once a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","","Mindre end en gang om  (Less than once a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:16:36 PM GMT+1","Mand (Man)","46","Dansk","Danmark","I et forhold (In a relationship)","Nej (No)","33 år","4","10","1","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Dark Secret;Afrodite club","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Mere selv sikker og meget mere åben for at prøve nyt","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","5","Aldrig (Never)","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Aldrig (Never)","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/01 4:28:49 PM GMT+1","Kvinde (Woman)","43","Dansk","Dk","I et forhold (In a relationship)","Nej (No)","24år","6","8","10","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Dark Secret;Afrodite club;Anstalten bdsm klub ","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Blev introduceret for bdsm og jeg fandt det jeg manglede","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","10","Aldrig (Never)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","","Mindre end en gang om  (Less than once a year)","Ja (Yes)","","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Reb er virkelig spændende og kan være seksuelt ","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Reb oplevelse, smæk på mig, ",""
"2022/11/01 4:35:54 PM GMT+1","Mand (Man)","47","Dansk","Danmark","Gift (Married)","Nej (No)","32 år","10","10","9","Nej (No)","","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Porno (porn)","Ja (Yes)","Sex i det fri, swinger ",""
"2022/11/01 4:39:50 PM GMT+1","Mand (Man)","30","Dansk ","Danmark ","Single","Nej (No)","15 år","2","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Lyst til at udforske reb og pisk","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","5","Et par gange om måneden (few times a month)","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","Via porno og eks kæresters lyster ",""
