"Timestamp","Køn (Gender) ","Alder (Age)","Hvor gammel var du, da du blev seksuelt aktiv? (How old were you when you first became sexually active?)","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","Er du seksuelt aktiv i øjeblikket? (Are you currently sexually active?)","Hvor ofte har du normalt sex? (How often do you usually have sex?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Har du nogensinde været til en sexfest? (Have you ever been to a sex party?)","Hvor mange gange har du været til sexfest? (How many times have you been to a sex party?) ","Hvordan fandt du disse sexfester? (How did you find out about these sex parties?) ","Ved dine venner, at du går til sexfester? (Do your friends know you go to sex parties?)","Har det påvirket dine seksuelle interesser? (Has it affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Hvor tror du, at dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/06/02 6:22:24 PM GMT+2","Kvinde (Woman)","27","14","I et forhold (In a relationship)","Ja (yes)","8","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;CitySwingers","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg har udvidet mine seksuelle præferencer og min seksuelle identitet. Jeg har opdaget at jeg er biseksuel og indenfor bdsm har jeg opdaget min switch side","Ja, Yes","2-5","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","8","Ja (Yes)","7","4","Ja (Yes)","10","6","Ja (Yes)","3","2","Nej (No)","","","Ja (Yes)","8","6","Ja (Yes)","8","8","Ja (Yes)","9","8","Ja (Yes)","9","7","Ja (Yes)","9","6","Ja (Yes)","9","9","Ja (Yes)","6","3","Ja (Yes)","9","8","Ja (Yes)","7","5","Ja (Yes)","10","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","6","Bloodchoking, fear play, stag/vixen, ","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Egen fantasi",""
"2022/06/02 6:32:13 PM GMT+2","Mand (Man)","63","17","Gift (Married","Nej (No)","9","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan;Dark Secret;Swingergaarden","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Ja, Yes","2-5","Venner (Friends)","Nej (No)","Nej (No)","","Ja (Yes)","7","4","Ja (Yes)","5","2","Ja (Yes)","6","4","Nej (No)","","","Ja (Yes)","9","9","Nej (No)","","","Ja (Yes)","7","4","Nej (No)","","","Ja (Yes)","9","5","Ja (Yes)","9","5","Ja (Yes)","7","4","Nej (No)","","","Ja (Yes)","7","4","Ja (Yes)","4","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 6:39:12 PM GMT+2","Kvinde (Woman)","46","14","I et forhold (In a relationship)","Nej (No)","9","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys;Swingerklubber i Tyskland og Gran Canarie","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Det har inspireret til at prøve nye ting og det var her jeg fandt ud af at jeg er til BDSm","Ja, Yes","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","7","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","7","1","Ja (Yes)","10","8","Nej (No)","","","Ja (Yes)","5","5","Ja (Yes)","7","3","Ja (Yes)","10","7","Ja (Yes)","10","7","Ja (Yes)","7","5","Ja (Yes)","7","1","Ja (Yes)","4","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","8","","Jeg tænker grundlæggende at det er medfødt og så opstår tingende med den/de rette partnere",""
"2022/06/02 6:54:22 PM GMT+2","Mand (Man)","48","18","Gift (Married","Nej (No)","10","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;CitySwingers","6-10","Venner (Friends)","Nej (No)","Ja (Yes)","Er mere nysgerrig","Ja, Yes","1","Sociale medie (Social media)","Nej (No)","Nej (No)","","Nej (No)","","","Ja (Yes)","9","9","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","6","3","Ja (Yes)","7","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","6","Nej (No)","","","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","3","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:12:00 PM GMT+2","Kvinde (Woman)","47","17","Gift (Married","Nej (No)","4","6","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;Joys;Klubber på gran canaria ","10+","Venner (Friends)","Nej (No)","Ja (Yes)","Jeg er mere udadvendt og nysgerrige ","Ja, Yes","2-5","Blev inviteret af vennernes tucan","Nej (No)","Nej (No)","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","10","Ja (Yes)","10","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","4","Ja (Yes)","9","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","",""
"2022/06/02 7:13:29 PM GMT+2","Kvinde (Woman)","44","16","I et forhold (In a relationship)","Nej (No)","8","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Tucan;Afrodite club","6-10","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Interesse ind i BDSM","Nej, No","","","","","","Ja (Yes)","10","9","Ja (Yes)","7","4","Ja (Yes)","7","5","Nej (No)","","","Ja (Yes)","10","8","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","4","Ja (Yes)","9","6","Ja (Yes)","10","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","6","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","4","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:18:05 PM GMT+2","Kvinde (Woman)","47","14","Single","Nej (No)","7","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","6-10","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Jeg er blevet mere eventyrlysten. ","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","9","8","Ja (Yes)","9","7","Nej (No)","","","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","3","Nej (No)","","","Rimming. ","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:26:23 PM GMT+2","Mand (Man)","51","13","Gift (Married","Nej (No)","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Swingland;CitySwingers 2;Afrodite club","10+","Sociale medie (Social media)","Nej (No)","Ja (Yes)","Åbnet mine øjne for hvad SM kan og hvad mange på en madras kan have en sjov og fræk aften","Ja, Yes","6-10","Sociale medie (Social media)","Nej (No)","Ja (Yes)","Man er mere fri og følge ens lyster","Ja (Yes)","10","7","Ja (Yes)","7","2","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","9","4","Nej (No)","","","Ja (Yes)","8","8","Ja (Yes)","8","9","Ja (Yes)","10","3","Ja (Yes)","10","6","Ja (Yes)","6","3","Ja (Yes)","10","2","Ja (Yes)","10","9","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","2","XXX","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)","XXX"
"2022/06/02 7:33:23 PM GMT+2","Kvinde (Woman)","33","21","Gift (Married","Nej (No)","6","7","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Ja (Yes)","6","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","10","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 7:37:20 PM GMT+2","Kvinde (Woman)","44","17","I et forhold (In a relationship)","Nej (No)","9","7","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","Ja (Yes)","Tucan","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Ja (Yes)","","Ja, Yes","1","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","","Nej (No)","","","Ja (Yes)","10","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
