Kings;Start_date;End_date;Yearasruler 
Gorm den Gamle;NA;NA;Unknown 
Harald 1. Blåtand ;NA;NA;Unknown 
Svend 1. Tveskæg ;NA;NA;Unknown 
Harald 2.;1014;1018;4
Knud 1. den Store;1018;1035;17
Hardeknud;1035;1042;7
Magnus den Gode ;1042;1047;5
Svend 2. Estridsen;1047;1074;27
Harald 3. Hen ;1074;1080;6
Knud 2. den Hellige ;1080;1086;6
Oluf 1. Hunger ;1086;1095;9
Erik 1. Ejegod ;1095;1103;8
Niels;1104;1134;30
Erik 2. Emune;1134;1137;3
Erik 3. Lam;1137;1146;9
Svend 3., Knud 3., Valdemar 1.;1146;1157;11
Valdemar 1. den Store ;1157;1182;25
Knud 4.;1182;1202;20
Valdemar 2. Sejr ;1202;1241;39
Erik 4. Plovpenning ;1241;1250;9
Abel ;1250;1252;2
Christoffer 1. ;1252;1259;7
Erik 5. Klipping ;1259;1286;27
Erik 6. Menved;1286;1319;35
Christoffer 2.;1319;1326;7
Valdemar 3.;1326;1329;3
Christoffer 2. ;1329;1332;3
Valdemar 4. Atterdag ;1340;1375;35
Oluf 2.;1375;1387;12
Margrete 1.;1387;1396;9
Erik 7. af Pommern;1396;1439;43
Christoffer 3. af Bayern;1440;1448;8
Chrstian 1.;1448;1481;33
Hans ;1482;1513;31
Christian 2. ;1513;1523;10
Frederik 1. ;1523;1533;10
Christian 3. ;1536;1559;23
Frederik 2.;1559;1588;29
Christian 4. ;1588;1648;60
Frederik 3. ;1648;1670;22
Christian 5. ;1670;1699;29
Frederik 4. ;1699;1730;31
Christian 6. ;1730;1746;16
Frederik 5. ;1746;1766;20
Christian 7. ;1766;1808;42
Frederik 6. ;1808;1839;31
Christian 8.;1839;1848;9
